source_file,company_name,period,currency,canonical_metric,reported_label,value_raw,verification,notes
ApexFreight_Q2_2025.pdf,Apex Freight Solutions Inc.,Q2 2025,USD,recognized_revenue,Total Recognized Revenue,9.3M,pair,"Chosen as the total revenue figure for the period. Comprised of Recognized Revenue (transaction) of 8.6M and SaaS Tool Fee Revenue of 0.7M, both disclosed separately for the first time in Q2 2025. Rebrand-related legal and design costs of 0.2M are included in operating expenses and not excluded from Gross Margin."
ApexFreight_Q2_2025.pdf,Apex Freight Solutions Inc.,Q2 2025,USD,gross_margin,Gross Margin,54%,pair,Rebrand-related legal and design costs of 0.2M are included in Q2 2025 operating expenses and not separately excluded from Gross Margin.
ApexFreight_Q2_2025.pdf,Apex Freight Solutions Inc.,Q2 2025,USD,headcount,Total Headcount,204,pair,
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q2 2025,USD,arr,Contracted ARR,$16.9M,pair,Footnote (1): Contracted ARR excludes one-time integration fees and professional services revenue.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q1 2025,USD,arr,Contracted ARR,$15.2M,pair,Footnote (1): Contracted ARR excludes one-time integration fees and professional services revenue.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q2 2025,USD,recognized_revenue,Recognized Revenue,$4.1M,pair,Excludes one-time partnership integration fee of +$0.2M from a large accounting network.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q1 2025,USD,recognized_revenue,Recognized Revenue,$3.8M,pair,Excludes one-time partnership integration fee of +$0.2M from a large accounting network.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q2 2025,USD,gross_margin,Gross Margin,73%,pair,Footnote (3): Gross Margin excludes customer success and data science costs.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q1 2025,USD,gross_margin,Gross Margin,72%,pair,Footnote (3): Gross Margin excludes customer success and data science costs.
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q2 2025,USD,net_dollar_retention,Net Revenue Retention (LTM),121%,pair,"Measured on an LTM (last twelve months) basis, not point-in-time quarterly."
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q1 2025,USD,net_dollar_retention,Net Revenue Retention (LTM),118%,pair,"Measured on an LTM (last twelve months) basis, not point-in-time quarterly."
CarbonTrack_Q2_2025.pdf,CarbonTrack Analytics Corp.,Q2 2025,USD,logo_churn,Logo Churn (LTM),3.8%,pair,Measured on an LTM (last twelve months) basis.
